loss,accuracy,val_loss,val_accuracy
0.6853365302085876,0.5505649447441101,0.6783241629600525,0.5757692456245422
0.6474323868751526,0.6238881349563599,0.40966087579727173,0.8488461375236511
0.25043416023254395,0.9179822206497192,0.19195470213890076,0.9411538243293762
0.19574524462223053,0.940700352191925,0.18228037655353546,0.9442307949066162
0.1824066936969757,0.9449475407600403,0.18753480911254883,0.9407692551612854
0.18084391951560974,0.9464300274848938,0.17057941854000092,0.9473077058792114
0.1787160187959671,0.9467906355857849,0.17390309274196625,0.9465384483337402
0.17112305760383606,0.9495953321456909,0.16672717034816742,0.9480769038200378
0.17302744090557098,0.9467505216598511,0.16698750853538513,0.9457692503929138
0.17267350852489471,0.9481528997421265,0.16290877759456635,0.947692334651947
0.16733019053936005,0.9489943385124207,0.17574939131736755,0.9465384483337402
0.16741342842578888,0.9493950009346008,0.16589336097240448,0.9469230771064758
